,extracted_comments,comments_date,translated_comments
60,Bro I'm playing on phone it's kinda hard I don't choke but even when I'm playing at my best I just idk it doesn't result to anything idk what should I focus on sometimes the hud doesn't work and sometimes the fov  seems kinda off the device gets laggy that's understandable but what should I be focusing on.big fan Tokyo,2022-06-12 18:54:50,Bro I'm playing on phone it's kinda hard I don't choke but even when I'm playing at my best I just idk it doesn't result to anything idk what should I focus on sometimes the hud doesn't work and sometimes the fov  seems kinda off the device gets laggy that's understandable but what should I be focusing on.big fan Tokyo
61,Perfect ,2022-06-12 18:54:50,Perfect 
62,I play on 90ms ping so shotgun registration is hard... I always watch ur videos to dream big ,2022-06-12 18:54:50,I play on 90ms ping so shotgun registration is hard... I always watch ur videos to dream big 
63,this is my first day watching your videos just i enjoyed ggs,2022-07-12 18:54:50,this is my first day watching your videos just i enjoyed ggs
64,Tokyo çıtayı öyle bı yere çıkardın ki kendi oynadigim oyun artık beni tatmin ,2022-06-12 18:54:50,Tokyo çıtayı öyle bı yere çıkardın ki kendi oynadigim oyun artık beni tatmin 
65,Shotgun play is insane!!!!,2022-06-12 18:54:50,Shotgun play is insane!!!!
66,Damn you play way too smooth,2022-06-12 18:54:50,Damn you play way too smooth
67,12:12,2022-10-19 18:54:50,12:12
68,Hello Tokyo lezzgooo,2022-06-12 18:54:50,Hello Tokyo lezzgooo
69,"Du bist echt gut, ich frag mich wann wurde ich im dieser leben so spielen wie du. Geil man ",2022-07-12 18:54:50,"Du bist echt gut, ich frag mich wann wurde ich im dieser leben so spielen wie du. Geil man "
70,Tokyo is too cracked,2022-06-12 18:54:50,Tokyo is too cracked
71,Nice gameplay ,2022-06-12 18:54:50,Nice gameplay 
72,Joga muito ,2022-07-12 18:54:50,Joga muito 
73,"Bro, you can go for the record",2022-06-12 18:54:50,"Bro, you can go for the record"
74,The accent makes him even funnier,2022-08-11 18:54:50,The accent makes him even funnier
75,bro furry klanindan slm 10 numarasın tam destek devamm ke,2022-06-12 18:54:50,bro furry klanindan slm 10 numarasın tam destek devamm ke
76,Bro love the Shiloh music goes well with the tempo,2022-06-12 18:54:50,Bro love the Shiloh music goes well with the tempo
77,Intense bro,2022-07-12 18:54:50,Intense bro
78,42 kills exactly....damnnnn,2022-07-12 18:54:50,42 kills exactly....damnnnn
79,Question...,2022-07-12 18:54:50,Question...
80,gg ,2022-06-12 18:54:50,gg 
81,My highest is like 21 kills. Aiming for 30 before.,2022-06-12 18:54:50,My highest is like 21 kills. Aiming for 30 before.
82,"Sir, yesterday i watched ur video and i become ur fan sir.... ",2022-09-10 18:54:50,"Sir, yesterday i watched ur video and i become ur fan sir.... "
83,Dude your insane ,2022-06-12 18:54:50,Dude your insane 
84,Super ,2022-06-12 18:54:50,Super 
85,gg wp bro.  Nice aim,2022-08-11 18:54:50,gg wp bro.  Nice aim
86,Kanka mitik fennecte 4. Seviyedeki uzun namlu 8. Seviyede aldığından dahamı kalın oluyor görüntü olarak,2022-06-12 18:54:50,Kanka mitik fennecte 4. Seviyedeki uzun namlu 8. Seviyede aldığından dahamı kalın oluyor görüntü olarak
87,9:00,2022-06-12 18:54:50,9:00
88,You are the Best bro ,2022-06-12 18:54:50,You are the Best bro 
89,Nice game!,2022-07-12 18:54:50,Nice game!
90,Gg brooo,2022-06-12 18:54:50,Gg brooo
91,Harikasın arkadaşım baypas tan sevgilerle,2022-10-10 18:54:50,Harikasın arkadaşım baypas tan sevgilerle
92,🔥,2022-06-12 18:54:50,🔥
93,Insane,2022-06-12 18:54:50,Insane
94,Much love man ,2022-07-12 18:54:50,Much love man 
95,Kim ne derse desin aga sen bu iste en iyisisin sadece bu vidyo ya bakarak demiyorum uzun zamandir takip ediyorum daha iyisini gormedim,2022-07-12 18:54:50,Kim ne derse desin aga sen bu iste en iyisisin sadece bu vidyo ya bakarak demiyorum uzun zamandir takip ediyorum daha iyisini gormedim
96,"Смешно смотреть как ты играешь на легендарном и как у тебя противники как роботы играют, не стреляют по тебе, в то время когда сам играю на легендарном и у меня враги очень опасные не то что у тебя на видео",2022-06-12 18:54:50,"Смешно смотреть как ты играешь на легендарном и как у тебя противники как роботы играют, не стреляют по тебе, в то время когда сам играю на легендарном и у меня враги очень опасные не то что у тебя на видео"
97,That’s tuff ,2022-06-12 18:54:50,That’s tuff 
98,Crazy edit there,2022-06-12 18:54:50,Crazy edit there
99,Bro we meet in isolated at farm ,2022-06-12 18:54:50,Bro we meet in isolated at farm 
100,The squirrel is what gets me ,2022-06-12 18:54:50,The squirrel is what gets me 
101,Can anyone tell how he kills enemies so fast,2022-06-12 18:54:50,Can anyone tell how he kills enemies so fast
102,"Nice game bro,, ",2022-06-12 18:54:50,"Nice game bro,, "
103,you the best bro ,2022-07-12 18:54:50,you the best bro 
104,What’s the third song ? Great video ! Earned yourself a new sub and like,2022-07-12 18:54:50,What’s the third song ? Great video ! Earned yourself a new sub and like
105,PARKER = BEST RECORD,2022-08-11 18:54:50,PARKER = BEST RECORD
106,Nice ,2022-06-12 18:54:50,Nice 
107,Damn bro you are insane,2022-07-12 18:54:50,Damn bro you are insane
108,Woooow,2022-06-12 18:54:50,Woooow
109,Liked it ,2022-06-12 18:54:50,Liked it 
110,Beast,2022-06-12 18:54:50,Beast
111,4:06,2022-08-11 18:54:50,4:06
112,Daaamnn good,2022-07-12 18:54:50,Daaamnn good
113,40bomb with hso,2022-06-12 18:54:50,40bomb with hso
114,3:55,2022-07-12 18:54:50,3:55
115,😂,2022-06-12 18:54:50,😂
116,U deserve more subs,2022-08-11 18:54:50,U deserve more subs
117,Bro am subscribing now ,2022-07-12 18:54:50,Bro am subscribing now 
118,"You are so good man, ",2022-10-26 18:54:50,"You are so good man, "
119,Nerelerdesin be Berk,2022-06-12 18:54:50,Nerelerdesin be Berk
120,Funny gameplay ) tell me name of ur editor )),2022-06-12 18:54:50,Funny gameplay ) tell me name of ur editor ))
121,GG,2022-06-12 18:54:50,GG
122,Teke tek maç yapalım ,2022-06-12 18:54:50,Teke tek maç yapalım 
123,Gg bro tchko tchiko ,2022-06-12 18:54:50,Gg bro tchko tchiko 
124,Tokyooo luv you bro,2022-06-12 18:54:50,Tokyooo luv you bro
125,How do you move so fast that’s crazy,2022-07-12 18:54:50,How do you move so fast that’s crazy
126,Good game!,2022-07-12 18:54:50,Good game!
127,Tokyo şu hs nin aparatlarını bi at bana bro.,2022-06-12 18:54:50,Tokyo şu hs nin aparatlarını bi at bana bro.
128,Brucle senin kimi olamaz xaxa sen harikasin kanka,2022-06-12 18:54:50,Brucle senin kimi olamaz xaxa sen harikasin kanka
129,Top 1 player ggs,2022-06-12 18:54:50,Top 1 player ggs
130,Nice you legend,2022-06-12 18:54:50,Nice you legend
131,Show ur sensitivity setting,2022-08-11 18:54:50,Show ur sensitivity setting
132,Love you man,2022-06-12 18:54:50,Love you man
133,I subscribed ASAP ,2022-06-12 18:54:50,I subscribed ASAP 
134,Tokyo stuck in the dryer lol too much Hub,2022-06-12 18:54:50,Tokyo stuck in the dryer lol too much Hub
135,High level skill,2022-07-12 18:54:50,High level skill
136,En iyi oyuncu ama maalesef takipçisi ve beğenisi az .,2022-06-12 18:54:50,En iyi oyuncu ama maalesef takipçisi ve beğenisi az .
137,Help me step brother i am stuck ,2022-06-12 18:54:50,Help me step brother i am stuck 
138,Gg bro great video,2022-09-10 18:54:50,Gg bro great video
139,The beat on ,2022-06-12 18:54:50,The beat on 
140,legend,2022-07-12 18:54:50,legend
141,Gg bro,2022-06-12 18:54:50,Gg bro
142,50 is the current record right ???,2022-06-12 18:54:50,50 is the current record right ???
143,Tekrar izledim yayindaa izlemiwdim,2022-06-12 18:54:50,Tekrar izledim yayindaa izlemiwdim
144,Eaaaaaasy ,2022-06-12 18:54:50,Eaaaaaasy 
145,Niceeeee,2022-06-12 18:54:50,Niceeeee
146,9:20,2022-08-11 18:54:50,9:20
147,how bypass are you using ????,2022-07-12 18:54:50,how bypass are you using ????
148,Dikkat ettimde hic profesyonel takimlara denk gelmiyorsun:) ama ginede iyisin bu iste:),2022-08-11 18:54:50,Dikkat ettimde hic profesyonel takimlara denk gelmiyorsun:) ama ginede iyisin bu iste:)
149,Nice Tokyo,2022-06-12 18:54:50,Nice Tokyo
150,Would have been 42 .. 2 kills got stolen,2022-06-12 18:54:50,Would have been 42 .. 2 kills got stolen
151,Sensitivity is gyro on??,2022-08-11 18:54:50,Sensitivity is gyro on??
152,You have a sub from me bro,2022-07-12 18:54:50,You have a sub from me bro
153,FOV Third person,2022-07-12 18:54:50,FOV Third person
154,i hope u match up with the tokyo of philippines to see whos better,2022-08-11 18:54:50,i hope u match up with the tokyo of philippines to see whos better
155,Woow bro GG ,2022-07-12 18:54:50,Woow bro GG 
156,Canlı yayın yapmıyorsun tokyo özlettin kendini,2022-06-12 18:54:50,Canlı yayın yapmıyorsun tokyo özlettin kendini
157,es mi parecer o en la partida no se vio gente de casi nivel ps no se vi que los jugadores no tenian buenos movimientos,2022-07-12 18:54:50,es mi parecer o en la partida no se vio gente de casi nivel ps no se vi que los jugadores no tenian buenos movimientos
158,1/26.. at the end of the video.. which means there were 74 bots in the server lol,2022-10-10 18:54:50,1/26.. at the end of the video.. which means there were 74 bots in the server lol
159,"So I play br but I don’t move like that , is it important",2022-09-10 18:54:50,"So I play br but I don’t move like that , is it important"
160,Step bro got good aim u have the best videos ever i hope u get 1million subscribers,2022-06-12 18:54:50,Step bro got good aim u have the best videos ever i hope u get 1million subscribers
161,Adamsın Berk helal olsun,2022-06-12 18:54:50,Adamsın Berk helal olsun
162,"This is probably only me but still ""HIS CONTENT IS SIMILAR TO LOTEX""",2022-06-12 18:54:50,"This is probably only me but still ""HIS CONTENT IS SIMILAR TO LOTEX"""
163,Çok rahat çok profosyonel ...,2022-06-12 18:54:50,Çok rahat çok profosyonel ...
164,Killing machine,2022-06-12 18:54:50,Killing machine
165,Bro has 39 kill say 40 i love you hahaha,2022-06-12 18:54:50,Bro has 39 kill say 40 i love you hahaha
166,"Nice Bro,, bery good player,,,hahha,are you Japanese  oy?",2022-07-12 18:54:50,"Nice Bro,, bery good player,,,hahha,are you Japanese  oy?"
167,Canlı izledim bir de buradan izleyeyim:)),2022-06-12 18:54:50,Canlı izledim bir de buradan izleyeyim:))
168,Ulan berk konusmalarin icinde izliyoduk ingilizceye gecmissin kanka bu bizi aşar,2022-07-12 18:54:50,Ulan berk konusmalarin icinde izliyoduk ingilizceye gecmissin kanka bu bizi aşar
169,How many fingers does he play?,2022-08-11 18:54:50,How many fingers does he play?
170,Two kills been stollen xd ,2022-06-12 18:54:50,Two kills been stollen xd 
171,Rakiperr::Mumkunsee bi dahaa gorusmeyelim kardeeeees,2022-06-12 18:54:50,Rakiperr::Mumkunsee bi dahaa gorusmeyelim kardeeeees
172,Pls Tokyo only day new vidéo pls,2022-06-12 18:54:50,Pls Tokyo only day new vidéo pls
173,XD,2022-06-12 18:54:50,XD
174,Jiggle jiggle ,2022-06-12 18:54:50,Jiggle jiggle 
175,I Love Tokyo,2022-06-12 18:54:50,I Love Tokyo
176,Hello sir I'm your Begg fen sir sensitive,2022-07-12 18:54:50,Hello sir I'm your Begg fen sir sensitive
177,All this guy make you say is omg omg ,2022-07-12 18:54:50,All this guy make you say is omg omg 
178,i thought its 4K Tokyo,2022-09-10 18:54:50,i thought its 4K Tokyo
179,HS LOADOUT PLS,2022-06-12 18:54:50,HS LOADOUT PLS
180,POMPALI KULLANMADA 1 NUMARALI ADAM BENCE,2022-06-12 18:54:50,POMPALI KULLANMADA 1 NUMARALI ADAM BENCE
181,Ooo bro very nice very good respeckt ,2022-06-12 18:54:50,Ooo bro very nice very good respeckt 
182,No one play like lotex in the world ggs tokyo you are good player,2022-07-12 18:54:50,No one play like lotex in the world ggs tokyo you are good player
183,9:22,2022-06-12 18:54:50,9:22
184,Best player,2022-06-12 18:54:50,Best player
185,What the name of the song at the end bro?,2022-07-12 18:54:50,What the name of the song at the end bro?
186,Nice bro ,2022-07-12 18:54:50,Nice bro 
187,best smg player,2022-06-12 18:54:50,best smg player
188,You're the best bro,2022-08-11 18:54:50,You're the best bro
189,I like the song in the background,2022-06-12 18:54:50,I like the song in the background
190,Good game,2022-06-12 18:54:50,Good game
191,Este tipo se mato a media partida xdxd,2022-07-12 18:54:50,Este tipo se mato a media partida xdxd
192,42 kills they took 2 kills,2022-06-12 18:54:50,42 kills they took 2 kills
193,I watched 2 times ,2022-07-12 18:54:50,I watched 2 times 
194,😂,2022-08-11 18:54:50,😂
195,This is getting ridiculous ,2022-06-12 18:54:50,This is getting ridiculous 
196,"Tokyo Do you like these graphics or the graphics before blackout , I dont like these see how dull ISOLATED looks do you remember those days where you ran an adrenaline with level 3 vest , whereas on the other hand Blackout is so vibrant .",2022-06-12 18:54:50,"Tokyo Do you like these graphics or the graphics before blackout , I dont like these see how dull ISOLATED looks do you remember those days where you ran an adrenaline with level 3 vest , whereas on the other hand Blackout is so vibrant ."
197,10:32,2022-06-12 18:54:50,10:32
198,Help me step brother I'm stuck..lol... Tokyo be watching too much porn lol,2022-06-12 18:54:50,Help me step brother I'm stuck..lol... Tokyo be watching too much porn lol
199,Lot of kills,2022-06-12 18:54:50,Lot of kills
200,Good game Tokyo ,2022-06-12 18:54:50,Good game Tokyo 
201,GG,2022-07-12 18:54:50,GG
202,80% nobs killed,2022-06-12 18:54:50,80% nobs killed
203,Where r u from bro? Because u have 2 accents korean accent and india accent,2022-07-12 18:54:50,Where r u from bro? Because u have 2 accents korean accent and india accent
204,Backward slide ,2022-09-10 18:54:50,Backward slide 
205,Insane,2022-06-12 18:54:50,Insane
206,nice,2022-06-12 18:54:50,nice
207,This man is not cracked this man is all drugs by him self wtf bro,2022-06-12 18:54:50,This man is not cracked this man is all drugs by him self wtf bro
208,what the fuvk are you doing man you make me wow wow wow shotgun is wow.,2022-07-12 18:54:50,what the fuvk are you doing man you make me wow wow wow shotgun is wow.
209,Next Level Bro I liked,2022-06-12 18:54:50,Next Level Bro I liked
210,Nice,2022-06-12 18:54:50,Nice
211,Kardes turkce konuşsan daha cok abune olurdu sana,2022-06-12 18:54:50,Kardes turkce konuşsan daha cok abune olurdu sana
212,Zaten hepimiz seni beyeniyoruz kanka abune olduk sana peki neden turkce konuwmuyon turkce konuwsan daha cok beyen olurdu bence yabanci dilde konuwuyon diye cok turk bilemiyo .yinede iyi şanslar,2022-06-12 18:54:50,Zaten hepimiz seni beyeniyoruz kanka abune olduk sana peki neden turkce konuwmuyon turkce konuwsan daha cok beyen olurdu bence yabanci dilde konuwuyon diye cok turk bilemiyo .yinede iyi şanslar
213,OneFinger200ms lol,2022-06-12 18:54:50,OneFinger200ms lol
214,So satisfying,2022-07-12 18:54:50,So satisfying
215,Tokyo I played with you 5 times,2022-06-12 18:54:50,Tokyo I played with you 5 times
216,Like,2022-06-12 18:54:50,Like
217,it was cruel,2022-06-12 18:54:50,it was cruel
218,Bro neden kadın karakter? Var mı bi esprisi?,2022-06-12 18:54:50,Bro neden kadın karakter? Var mı bi esprisi?
219,Yes is good aimboot but u are clever u use it in hard movements,2022-11-08 18:54:50,Yes is good aimboot but u are clever u use it in hard movements
220,Brother jajajaja. Saludos ThPotro,2022-10-29 18:54:50,Brother jajajaja. Saludos ThPotro
221,Ni-,2022-06-12 18:54:50,Ni-
222,EARLY GANG,2022-06-12 18:54:50,EARLY GANG
223,👑,2022-06-12 18:54:50,👑
224,Up bro,2022-09-10 18:54:50,Up bro
225,You Too Fast Hand I Like... I Fast Hand To But Play Gusion MLBB ,2022-07-12 18:54:50,You Too Fast Hand I Like... I Fast Hand To But Play Gusion MLBB 
226,hot Hot ,2022-06-12 18:54:50,hot Hot 
227,Heat waves,2022-08-11 18:54:50,Heat waves
228,پشمام,2022-06-12 18:54:50,پشمام
229,Need Emulator gamers. Phone gamers 80% nobs...,2022-06-12 18:54:50,Need Emulator gamers. Phone gamers 80% nobs...
230,💥,2022-06-12 18:54:50,💥
231,🤔,2022-06-12 18:54:50,🤔
232,👏,2022-06-12 18:54:50,👏
233,Big fan bro ,2022-08-11 18:54:50,Big fan bro 
234,You good as fuck,2022-10-10 18:54:50,You good as fuck
235,:O,2022-06-12 18:54:50,:O
236,❤,2022-06-12 18:54:50,❤
237,❤,2022-06-12 18:54:50,❤
238,im literally a bot ,2022-07-12 18:54:50,im literally a bot 
239,Bom,2022-06-12 18:54:50,Bom
240,only for the squirrel,2022-07-12 18:54:50,only for the squirrel
241,Mac or fenec ?,2022-06-12 18:54:50,Mac or fenec ?
242,Nice bro,2022-07-12 18:54:50,Nice bro
243,there is no chance to approve it because most of the players play on the phone and you with a tablet have an advantage with the phone you will not be so good,2022-06-12 18:54:50,there is no chance to approve it because most of the players play on the phone and you with a tablet have an advantage with the phone you will not be so good
244,♥,2022-06-12 18:54:50,♥
245,Hiiiiiii YouTube!,2022-06-12 18:54:50,Hiiiiiii YouTube!
246,Are you crazy men,2022-07-12 18:54:50,Are you crazy men
247,Amazing,2022-07-12 18:54:50,Amazing
248,Escopetas nerf,2022-07-12 18:54:50,Escopetas nerf
249,artık dış minnakların dilinde konuşuyorsun neden acaba kardeşim,2022-06-12 18:54:50,artık dış minnakların dilinde konuşuyorsun neden acaba kardeşim
250,Tokyo nice player 1 frist bro,2022-08-11 18:54:50,Tokyo nice player 1 frist bro
251,BEST BRO,2022-07-12 18:54:50,BEST BRO
252,gg,2022-06-12 18:54:50,gg
253,Bro i love you,2022-06-12 18:54:50,Bro i love you
254,Nta no9ch ,2022-06-12 18:54:50,Nta no9ch 
255,Gg,2022-07-12 18:54:50,Gg
256,"Thise players are playing to enjoy the game not like you who played for money and views,you are not supposed to be there,look for pro players around the world.this game is unfair to every players",2022-07-12 18:54:50,"Thise players are playing to enjoy the game not like you who played for money and views,you are not supposed to be there,look for pro players around the world.this game is unfair to every players"
257,GG,2022-09-10 18:54:50,GG
258,olum ne diyon lojik mojik anlıcamız dilden konuş,2022-06-12 18:54:50,olum ne diyon lojik mojik anlıcamız dilden konuş
259,9:22,2022-06-12 18:54:50,9:22
260,Nice,2022-07-12 18:54:50,Nice
261,NICE,2022-07-12 18:54:50,NICE
262,Nice,2022-08-11 18:54:50,Nice
263,Ты первый,2022-06-12 18:54:50,Ты первый
264,How??????????,2022-07-12 18:54:50,How??????????
265,can you beat oopssorrygaming plsss that asian is arrogant(im also asian),2022-09-10 18:54:50,can you beat oopssorrygaming plsss that asian is arrogant(im also asian)
266,Hi,2022-06-12 18:54:50,Hi
267,Is not suppose to be a mobile game not a iPad game ,2022-07-12 18:54:50,Is not suppose to be a mobile game not a iPad game 
268,OmG,2022-07-12 18:54:50,OmG
269,Toke,2022-06-12 18:54:50,Toke
270,Hi YouTube,2022-06-12 18:54:50,Hi YouTube
271,U r mad ,2022-07-12 18:54:50,U r mad 
272,42*,2022-06-12 18:54:50,42*
273,Why use a girl?,2022-07-12 18:54:50,Why use a girl?
274,Atach hs??,2022-06-12 18:54:50,Atach hs??
275,Hud reveal?,2022-06-12 18:54:50,Hud reveal?
276,.,2022-06-12 18:54:50,.
277,Tokyooooooooooo,2022-06-12 18:54:50,Tokyooooooooooo
278,Helal kanka,2022-08-11 18:54:50,Helal kanka
279,Play in the rom stop to kil nob in the Bad server,2022-07-12 18:54:50,Play in the rom stop to kil nob in the Bad server
280,may tokyo sa pinas may tokyo din pala na taga ibang bansa,2022-07-12 18:54:50,may tokyo sa pinas may tokyo din pala na taga ibang bansa
281,Yog amg ya,2022-06-12 18:54:50,Yog amg ya
282,Tokyo op!!!,2022-06-12 18:54:50,Tokyo op!!!
283,Hii,2022-07-12 18:54:50,Hii
284,🤣,2022-09-10 18:54:50,🤣
285,✊,2022-07-12 18:54:50,✊
286,ماشاءالله اسطورة ,2022-07-12 18:54:50,ماشاءالله اسطورة 
287,Jeeeez,2022-09-10 18:54:50,Jeeeez
288,Efirr efirr,2022-06-12 18:54:50,Efirr efirr
289,You talking a lot ,2022-08-11 18:54:50,You talking a lot 
290,🤩,2022-07-12 18:54:50,🤩
291,Así como hack en free fire jajaa igual el aimbot para dispRo,2022-07-12 18:54:50,Así como hack en free fire jajaa igual el aimbot para dispRo
292,😂,2022-07-12 18:54:50,😂
293,Nau nau,2022-06-12 18:54:50,Nau nau
294,Por decir maldiciones le pongo no me gusta,2022-07-12 18:54:50,Por decir maldiciones le pongo no me gusta
295,Hi bro ,2022-07-12 18:54:50,Hi bro 
296,İngilizce yakışmıyor sana,2022-06-12 18:54:50,İngilizce yakışmıyor sana
297,You Deepanchou jr ,2022-06-12 18:54:50,You Deepanchou jr 
298,Good wow mantap,2022-06-12 18:54:50,Good wow mantap
299,BROOOOOOOO,2022-07-12 18:54:50,BROOOOOOOO
300,Ur noob,2022-06-12 18:54:50,Ur noob
